,value,count
0,0.36008054,113882
1,0.36538735,720507
2,0.37069416,2143322
3,0.37600097,253846
4,0.38130778,238031
5,0.3866146,310274
6,0.3919214,570533
7,0.3972282,402556
8,0.402535,13027
9,0.4078418,32472
10,0.4131486,1430
11,0.41845542,120
12,0.42376223,0
13,0.42906904,0
14,0.43437585,0
15,0.43968266,0
16,0.44498947,0
17,0.45029628,0
18,0.4556031,0
19,0.4609099,0
20,0.4662167,0
21,0.47152352,0
22,0.47683033,0
23,0.48213714,0
24,0.48744392,0
25,0.49275073,0
26,0.49805754,0
27,0.5033644,0
28,0.50867116,0
29,0.513978,0
30,0.5192848,0
31,0.5245916,640
32,0.5298984,7190
33,0.5352052,7169
34,0.540512,8761
35,0.5458188,212
36,0.55112565,460552
37,0.5564324,93144
38,0.56173927,1607615
39,0.56704605,1778546
40,0.5723529,797254
41,0.57765967,14916
42,0.5829665,1
43,0.5882733,0
44,0.5935801,140
45,0.5988869,100
46,0.60419375,7920
47,0.6095005,8556
48,0.61480737,781
49,0.62011415,6503
